파일,빠른정산_건수,빠른정산_금액,일반정산_건수,일반정산_금액,빠른정산 회수_건수,빠른정산 회수_금액,정산후 취소_건수,정산후 취소_금액,정산전 취소_건수,정산전 취소_금액,매출반영
2026-01.xlsx,11538,124377036,112,1701769,267,-3656461,7,-76010,649,7236808,122346334
2026-02.xlsx,9960,108940419,107,1597756,245,-3421175,9,-94500,548,6394575,107022500
2026-03.xlsx,15008,160653947,110,1503109,337,-4425419,6,-96096,841,9471047,157635541
2026-04.xlsx,14075,143360765,88,1308290,284,-3479070,4,-39160,845,8788849,141150825
2026-05.xlsx,14757,163280629,162,2182133,397,-5237915,8,-130434,851,9611071,160094413
2026-06.xlsx,15259,169989822,152,2261268,393,-5253267,0,0,900,10265996,166997823
2026-07.xlsx,12389,131714347,109,1436363,282,-3542197,8,-77502,697,7446061,129531011
2026-08.xlsx,11928,129086421,114,1663412,255,-3442012,2,-22429,686,8223776,127285392
