상품코드,상품명,카테고리,상품번호,원가,포장비,정산상품명,참고_누적매출,참고_판매수량,참고_이름수
NV-017,발열 허리 디스크 척추 보호대 복대,허리,5299145323,,,올투게더나우 물리치료사가 직접 판매하는 발열 허리 디스크 척추 보호대 복대,1130407,67,1
NV-015,손가락 엄지 검지 중지 약지 새끼,손가락,8351363328,,,물리치료사가 판매하는 올투게더나우 손가락 엄지 검지 중지 약지 새끼 보호대 아대 지지대,1104343,97,1
NV-001,큐디아 손목 보호대 T1 온열 저주파,손목,11017176082,,,큐디아 손목 보호대 T1 온열 저주파 마사지 아대 산후 산전 헬스 테니스 찜질 EMS,1087211,11,2
NV-036,가벼운 허리보호대 복대,허리,7720884797,,,물리치료사가 판매하는 올투게더나우 가벼운 허리보호대 복대,1050302,69,1
NV-029,고정 손목보호대,손목,7414085924,,,물리치료사가 판매하는 올투게더나우 고정 손목보호대,898572,80,1
NV-027,큐디아 무릎 슬개건 슬개골 보호대 러닝,무릎,9969330650,,,큐디아 무릎 슬개건 슬개골 보호대 러닝 무릎 관절 보호 밴드 니 슬리브 1P,856452,30,1
NV-039,엄지 발가락 보호대,발/발목,5415180339,,,물리치료사가 판매하는 올투게더나우 엄지 발가락 보호대,670702,63,1
NV-014,얇은 허리 보호대,허리,7090326638,,,물리치료사가 판매하는 올투게더나우 얇은 허리 보호대,625439,41,1
NV-050,미국 스포츠 쿨파스 바르는 파스 쿨링,무릎,13402813253,,,올투게더나우 미국 스포츠 쿨파스 바르는 파스 쿨링 휴대용 스포츠겔 무릎 허리 손목 관절 근육,567132,27,1
NV-046,팔꿈치 엘보 보호대,팔꿈치,4845158048,,,물리치료사가 판매하는 올투게더나우 팔꿈치 엘보 보호대,566443,47,1
NV-048,다이얼 압박 무릎보호대 1p,무릎,8643749105,,,물리치료사가 판매하는 올투게더나우 다이얼 압박 무릎보호대 1p,475281,17,1
NV-047,꽉쪼아 손목 보호대 아대 엄지손가락 스트랩,손목,5567864358,,,올투게더나우 물리치료사가 판매하는 꽉쪼아 손목 보호대 아대 엄지손가락 스트랩 운동 골프 테니스,306114,30,1
NV-035,친환경 땅콩 싱글 마사지 지압 스트레칭,어깨/목,4911599710,,,올투게더나우 친환경 땅콩 싱글 마사지 지압 스트레칭 공 발 어깨 승모근 요가 마사지 볼,303443,61,2
NV-040,쫀쫀 무릎 보호대,무릎,6520546844,,,물리치료사가 판매하는 올투게더나우 쫀쫀 무릎 보호대,297787,15,1
NV-043,국내생산 큐디아 PN 런닝 등산 배드민턴,무릎,10463137662,,,국내생산 큐디아 PN 런닝 등산 배드민턴 헬스 관절 연골 무릎 보호대 압박 밴드1p,155738,5,1
NV-052,추가용 교체 스트랩,기타용품,13436457523,,,올투게더나우 추가용 교체 스트랩,125089,22,1
NV-051,미국 올림픽 선수도 사용하는 케이티 테이프,무릎,13397438952,,,미국 올림픽 선수도 사용하는 케이티 테이프 오리지널 본사 스포츠 테이핑 키네시올로지 손목 무릎 어깨 근육,102652,7,1
NV-055,트위스트바 블랙 전완근 손목 운동,손목,13462493161,,,올투게더나우 트위스트바 블랙 전완근 손목 운동,62723,7,1
NV-053,마사지볼 블랙,기타용품,13462976266,,,올투게더나우 마사지볼 블랙,13977,4,1
NV-054,A형 악력기,기타용품,13462521558,,,올투게더나우 A형 악력기,8303,2,1
OPT,옵션·추가구성,미분류,,,,옵션·추가구성,0,0,1
