상품명,수량,매출
올투게더나우 실리콘 손목 보호대 2개 18g 15*8*6.5cm,720,3754230
"올투게더나우 무릎 보호대, 블랙",558,3417471
"물리치료사가 추천하는 2p 손목 보호대, 1개",134,656870
"물리치료사 판매하는 올투게더나우 디스크 허리보호대 복대, L + 마사지볼",28,351072
"물리치료사 판매하는 올투게더나우 디스크 허리보호대 복대, M + 마사지볼",24,301608
"올투게더나우 블랙 엘보 보호대, 1개",45,278235
올투게더나우 족저근막 아치 깔창 2p 2set,9,37700
올투게더나우 족저근막 아치 깔창 2p 2set M ( 225~ 245mm),7,28980
올투게더나우 족저근막 아치 깔창 2p 1set M ( 225~ 245mm),6,24910
